source_id,title,category,source_priority,source_type,url_or_query,target_folder,linked_agent,use_case,expected_format,license_status,reliability,disclosure_level,recommended_action,notes
SRC-0001,NCBI All Resources / Site Guide,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/guide/all/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,"Genomics, protein, literature entry point",HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first","Genomics, protein, literature entry point"
SRC-0002,NCBI PubMed,Science DB / Standard,P3,database/standard,https://pubmed.ncbi.nlm.nih.gov/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Biomedical literature search and abstracts,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Biomedical literature search and abstracts
SRC-0003,PubMed Central Open Access Subset,Science DB / Standard,P3,database/standard,https://pmc.ncbi.nlm.nih.gov/tools/openftlist/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Open-access full-text literature; license still row-level,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Open-access full-text literature; license still row-level
SRC-0004,NCBI Gene,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/gene/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Gene records,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Gene records
SRC-0005,NCBI Protein,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/protein/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Protein sequence records,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Protein sequence records
SRC-0006,NCBI Nucleotide,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/nucleotide/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Nucleotide sequence records,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Nucleotide sequence records
SRC-0007,NCBI Genome,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/genome/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Genome resource,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Genome resource
SRC-0008,NCBI Assembly,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/assembly/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Genome assembly metadata,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Genome assembly metadata
SRC-0009,NCBI BioProject,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/bioproject/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Project metadata provenance,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Project metadata provenance
SRC-0010,NCBI BioSample,Science DB / Standard,P3,database/standard,https://www.ncbi.nlm.nih.gov/biosample/,01_RAW_SOURCES/P3_SCIENCE_DATABASES/,R&D Design / Species / Protein / DBTL,Sample metadata provenance,HTML/API/CSV/FASTA/PDB/SBOL,Check database-specific terms before bulk download,High,Public,"Store link, verify terms, then ingest metadata first",Sample metadata provenance
